Transaction_ID,Customer_ID,Product_Name,Shelf_Location,Price_VND
TRANS_00110,CUST_0055,Kem dưỡng da lão hóa,Kệ K3,1188000
TRANS_00111,CUST_0055,Trà thảo mộc,Kệ N4,448000
TRANS_00112,CUST_0055,Thực phẩm bổ sung canxi,Kệ O2,271000
TRANS_00113,CUST_0056,Đồng hồ thể thao,Kệ I1,888000
TRANS_00114,CUST_0057,Bánh kẹo trẻ em,Kệ C2,1646000
TRANS_00115,CUST_0057,Đồ chơi xe hơi,Kệ A1,462000
TRANS_00116,CUST_0058,Kem dưỡng da lão hóa,Kệ K3,238000
TRANS_00117,CUST_0058,Trà thảo mộc,Kệ N4,952000
TRANS_00118,CUST_0058,Thực phẩm bổ sung canxi,Kệ O2,493000
TRANS_00119,CUST_0059,Rượu vang,Kệ M1,1689000
TRANS_00120,CUST_0060,Mỹ phẩm cao cấp,Kệ K2,778000
TRANS_00121,CUST_0060,Thực phẩm chức năng,Kệ O1,352000
TRANS_00122,CUST_0060,Rượu vang,Kệ M1,1469000
TRANS_00123,CUST_0061,Rượu vang,Kệ M1,1159000
TRANS_00124,CUST_0062,Đồng hồ thể thao,Kệ I1,1692000
TRANS_00125,CUST_0063,Thực phẩm chức năng,Kệ O1,1855000
TRANS_00126,CUST_0063,Mỹ phẩm cao cấp,Kệ K2,1432000
TRANS_00127,CUST_0064,Gậy đi bộ,Kệ P1,393000
TRANS_00128,CUST_0065,Túi xách,Kệ L2,316000
TRANS_00129,CUST_0065,Mỹ phẩm dưỡng da,Kệ K1,342000
TRANS_00130,CUST_0065,Trà sữa pha sẵn,Kệ J3,273000
TRANS_00131,CUST_0066,Thực phẩm bổ sung canxi,Kệ O2,206000
TRANS_00132,CUST_0066,Kem dưỡng da lão hóa,Kệ K3,206000
TRANS_00133,CUST_0067,Mỹ phẩm dưỡng da,Kệ K1,998000
TRANS_00134,CUST_0067,Túi xách,Kệ L2,1758000
TRANS_00135,CUST_0067,Trà sữa pha sẵn,Kệ J3,1370000
TRANS_00136,CUST_0068,Ba lô học sinh,Kệ F2,388000
TRANS_00137,CUST_0068,Tai nghe,Kệ G3,159000
TRANS_00138,CUST_0069,Tai nghe,Kệ G3,1552000
TRANS_00139,CUST_0069,Giày sneaker,Kệ E1,1354000
TRANS_00140,CUST_0070,Rượu vang,Kệ M1,662000
TRANS_00141,CUST_0070,Mỹ phẩm cao cấp,Kệ K2,456000
TRANS_00142,CUST_0070,Thực phẩm chức năng,Kệ O1,1390000
TRANS_00143,CUST_0071,Thực phẩm bổ sung canxi,Kệ O2,886000
TRANS_00144,CUST_0071,Kem dưỡng da lão hóa,Kệ K3,50000
TRANS_00145,CUST_0072,Cà phê hòa tan,Kệ N2,1065000
TRANS_00146,CUST_0073,Búp bê,Kệ A2,808000
TRANS_00147,CUST_0074,Đồng hồ thể thao,Kệ I1,1202000
TRANS_00148,CUST_0075,Thực phẩm chức năng,Kệ O1,1114000
TRANS_00149,CUST_0076,Kem dưỡng da lão hóa,Kệ K3,691000
TRANS_00150,CUST_0076,Thực phẩm bổ sung canxi,Kệ O2,1159000
TRANS_00151,CUST_0076,Trà thảo mộc,Kệ N4,1168000
TRANS_00152,CUST_0077,Bút màu,Kệ B3,949000
TRANS_00153,CUST_0078,Đồ chơi xe hơi,Kệ A1,217000
TRANS_00154,CUST_0078,Bút màu,Kệ B3,1139000
TRANS_00155,CUST_0079,Ba lô học sinh,Kệ F2,465000
TRANS_00156,CUST_0080,Giày sneaker,Kệ E1,1514000
TRANS_00157,CUST_0081,Túi xách,Kệ L2,1382000
TRANS_00158,CUST_0082,Ba lô học sinh,Kệ F2,1047000
TRANS_00159,CUST_0082,Kẹp tóc thời trang,Kệ D2,1125000
TRANS_00160,CUST_0083,Túi xách,Kệ L2,1585000
TRANS_00161,CUST_0084,Nước tăng lực,Kệ J2,1960000
TRANS_00162,CUST_0084,Giày sneaker,Kệ E1,561000
TRANS_00163,CUST_0085,Trà sữa pha sẵn,Kệ J3,148000
TRANS_00164,CUST_0085,Mỹ phẩm dưỡng da,Kệ K1,847000
TRANS_00165,CUST_0086,Bút màu,Kệ B3,1474000
TRANS_00166,CUST_0086,Đồ chơi xe hơi,Kệ A1,1101000
TRANS_00167,CUST_0087,Mỹ phẩm cao cấp,Kệ K2,217000
TRANS_00168,CUST_0087,Thực phẩm chức năng,Kệ O1,641000
TRANS_00169,CUST_0087,Rượu vang,Kệ M1,1935000
TRANS_00170,CUST_0088,Gậy đi bộ,Kệ P1,1780000
TRANS_00171,CUST_0088,Trà xanh,Kệ N3,1307000
TRANS_00172,CUST_0089,Thực phẩm bổ sung canxi,Kệ O2,144000
TRANS_00173,CUST_0089,Kem dưỡng da lão hóa,Kệ K3,1688000
TRANS_00174,CUST_0090,Gậy đi bộ,Kệ P1,1829000
TRANS_00175,CUST_0090,Trà xanh,Kệ N3,1008000
TRANS_00176,CUST_0091,Ba lô học sinh,Kệ F2,1654000
TRANS_00177,CUST_0091,Tai nghe,Kệ G3,243000
TRANS_00178,CUST_0091,Giày sneaker,Kệ E1,1443000
TRANS_00179,CUST_0092,Ba lô học sinh,Kệ F2,265000
TRANS_00180,CUST_0093,Đồng hồ thể thao,Kệ I1,884000
TRANS_00181,CUST_0093,Nước tăng lực,Kệ J2,1814000
TRANS_00182,CUST_0093,Giày sneaker,Kệ E1,252000
TRANS_00183,CUST_0094,Giày sneaker,Kệ E1,1370000
TRANS_00184,CUST_0094,Đồng hồ thể thao,Kệ I1,1377000
TRANS_00185,CUST_0095,Rượu vang,Kệ M1,1718000
TRANS_00186,CUST_0095,Mỹ phẩm cao cấp,Kệ K2,1742000
TRANS_00187,CUST_0095,Thực phẩm chức năng,Kệ O1,1376000
TRANS_00188,CUST_0096,Nước tăng lực,Kệ J2,1757000
TRANS_00189,CUST_0096,Giày sneaker,Kệ E1,629000
TRANS_00190,CUST_0096,Đồng hồ thể thao,Kệ I1,31000
TRANS_00191,CUST_0097,Ba lô học sinh,Kệ F2,1911000
TRANS_00192,CUST_0097,Kẹp tóc thời trang,Kệ D2,445000
TRANS_00193,CUST_0097,Son dưỡng môi,Kệ H1,1760000
TRANS_00194,CUST_0098,Gậy đi bộ,Kệ P1,459000
TRANS_00195,CUST_0098,Thực phẩm chức năng,Kệ O1,422000
TRANS_00196,CUST_0098,Trà xanh,Kệ N3,824000
TRANS_00197,CUST_0099,Thực phẩm bổ sung canxi,Kệ O2,1935000
TRANS_00198,CUST_0099,Kem dưỡng da lão hóa,Kệ K3,423000
TRANS_00199,CUST_0099,Trà thảo mộc,Kệ N4,339000
TRANS_00200,CUST_0100,Ba lô học sinh,Kệ F2,1853000
TRANS_00201,CUST_0101,Mỹ phẩm dưỡng da,Kệ K1,1903000
TRANS_00202,CUST_0102,Kẹp tóc,Kệ D1,1385000
TRANS_00203,CUST_0102,Bút màu,Kệ B3,1582000
TRANS_00204,CUST_0103,Đồ chơi xe hơi,Kệ A1,1987000
TRANS_00205,CUST_0104,Bút màu,Kệ B3,311000
TRANS_00206,CUST_0104,Bánh kẹo trẻ em,Kệ C2,692000
TRANS_00207,CUST_0105,Mỹ phẩm cao cấp,Kệ K2,1760000
TRANS_00208,CUST_0105,Rượu vang,Kệ M1,1796000
TRANS_00209,CUST_0105,Thực phẩm chức năng,Kệ O1,1336000
TRANS_00210,CUST_0106,Giày sneaker,Kệ E1,532000
TRANS_00211,CUST_0106,Tai nghe,Kệ G3,490000
TRANS_00212,CUST_0107,Son dưỡng môi,Kệ H1,1523000
TRANS_00213,CUST_0108,Trà xanh,Kệ N3,484000
TRANS_00214,CUST_0108,Thực phẩm chức năng,Kệ O1,1987000
TRANS_00215,CUST_0108,Gậy đi bộ,Kệ P1,748000
TRANS_00216,CUST_0109,Son dưỡng môi,Kệ H1,1357000
TRANS_00217,CUST_0109,Ba lô học sinh,Kệ F2,1199000
TRANS_00218,CUST_0110,Giày sneaker,Kệ E1,1646000
TRANS_00219,CUST_0111,Trà sữa pha sẵn,Kệ J3,281000
TRANS_00220,CUST_0111,Mỹ phẩm dưỡng da,Kệ K1,1771000
TRANS_00221,CUST_0111,Túi xách,Kệ L2,1794000
TRANS_00222,CUST_0112,Đồng hồ thể thao,Kệ I1,839000
TRANS_00223,CUST_0112,Nước tăng lực,Kệ J2,1403000
TRANS_00224,CUST_0113,Mỹ phẩm cao cấp,Kệ K2,1369000
TRANS_00225,CUST_0113,Rượu vang,Kệ M1,1953000
TRANS_00226,CUST_0114,Ba lô học sinh,Kệ F2,1637000
TRANS_00227,CUST_0114,Kẹp tóc thời trang,Kệ D2,1251000
TRANS_00228,CUST_0114,Son dưỡng môi,Kệ H1,860000
TRANS_00229,CUST_0115,Giày sneaker,Kệ E1,1841000
TRANS_00230,CUST_0115,Tai nghe,Kệ G3,908000
TRANS_00231,CUST_0116,Thực phẩm bổ sung canxi,Kệ O2,1741000
TRANS_00232,CUST_0116,Trà thảo mộc,Kệ N4,764000
TRANS_00233,CUST_0116,Kem dưỡng da lão hóa,Kệ K3,1541000
TRANS_00234,CUST_0117,Ba lô học sinh,Kệ F2,763000
TRANS_00235,CUST_0118,Gậy đi bộ,Kệ P1,1394000
TRANS_00236,CUST_0118,Trà xanh,Kệ N3,1355000
TRANS_00237,CUST_0119,Giày sneaker,Kệ E1,140000
TRANS_00238,CUST_0119,Đồng hồ thể thao,Kệ I1,1210000
TRANS_00239,CUST_0119,Nước tăng lực,Kệ J2,1367000
TRANS_00240,CUST_0120,Bánh kẹo trẻ em,Kệ C2,1115000
TRANS_00241,CUST_0121,Rượu vang,Kệ M1,1096000
TRANS_00242,CUST_0121,Đồng hồ lịch lãm,Kệ I2,1265000
TRANS_00243,CUST_0122,Bút màu,Kệ B3,324000
TRANS_00244,CUST_0122,Bánh kẹo trẻ em,Kệ C2,322000
TRANS_00245,CUST_0123,Bánh kẹo trẻ em,Kệ C2,1208000
TRANS_00246,CUST_0123,Đồ chơi xe hơi,Kệ A1,1338000
TRANS_00247,CUST_0123,Bút màu,Kệ B3,1341000
TRANS_00248,CUST_0124,Bánh kẹo trẻ em,Kệ C2,1742000
TRANS_00249,CUST_0125,Đồ chơi xe hơi,Kệ A1,406000
TRANS_00250,CUST_0126,Đồng hồ thể thao,Kệ I1,1480000
TRANS_00251,CUST_0126,Giày sneaker,Kệ E1,471000
TRANS_00252,CUST_0127,Rượu vang,Kệ M1,101000
TRANS_00253,CUST_0127,Mỹ phẩm cao cấp,Kệ K2,673000
TRANS_00254,CUST_0128,Trà thảo mộc,Kệ N4,166000
TRANS_00255,CUST_0128,Kem dưỡng da lão hóa,Kệ K3,1580000
TRANS_00256,CUST_0129,Rượu vang,Kệ M1,29000
TRANS_00257,CUST_0130,Kẹp tóc,Kệ D1,930000
TRANS_00258,CUST_0131,Đồ chơi xe hơi,Kệ A1,183000
TRANS_00259,CUST_0131,Bút màu,Kệ B3,165000
TRANS_00260,CUST_0131,Bánh kẹo trẻ em,Kệ C2,1493000
TRANS_00261,CUST_0132,Trà thảo mộc,Kệ N4,124000
TRANS_00262,CUST_0132,Thực phẩm bổ sung canxi,Kệ O2,503000
TRANS_00263,CUST_0133,Thực phẩm bổ sung canxi,Kệ O2,1344000
TRANS_00264,CUST_0134,Thực phẩm chức năng,Kệ O1,1399000
TRANS_00265,CUST_0135,Rượu vang,Kệ M1,1737000
TRANS_00266,CUST_0136,Ba lô học sinh,Kệ F2,888000
TRANS_00267,CUST_0137,Giày sneaker,Kệ E1,644000
TRANS_00268,CUST_0137,Tai nghe,Kệ G3,1396000
TRANS_00269,CUST_0138,Bút màu,Kệ B3,1219000
TRANS_00270,CUST_0138,Kẹp tóc,Kệ D1,1015000
TRANS_00271,CUST_0138,Búp bê,Kệ A2,450000
TRANS_00272,CUST_0139,Túi xách,Kệ L2,1096000
TRANS_00273,CUST_0140,Rượu vang,Kệ M1,751000
TRANS_00274,CUST_0140,Thực phẩm chức năng,Kệ O1,1603000
TRANS_00275,CUST_0141,Ba lô học sinh,Kệ F2,727000
TRANS_00276,CUST_0141,Kẹp tóc thời trang,Kệ D2,856000
TRANS_00277,CUST_0142,Giày sneaker,Kệ E1,672000
TRANS_00278,CUST_0142,Đồng hồ thể thao,Kệ I1,221000
TRANS_00279,CUST_0143,Giày sneaker,Kệ E1,1413000
TRANS_00280,CUST_0143,Nước tăng lực,Kệ J2,167000
TRANS_00281,CUST_0143,Đồng hồ thể thao,Kệ I1,1319000
TRANS_00282,CUST_0144,Búp bê,Kệ A2,1526000
TRANS_00283,CUST_0144,Kẹp tóc,Kệ D1,1413000
TRANS_00284,CUST_0144,Bút màu,Kệ B3,669000
TRANS_00285,CUST_0145,Trà xanh,Kệ N3,763000
TRANS_00286,CUST_0145,Thực phẩm chức năng,Kệ O1,328000
TRANS_00287,CUST_0146,Tai nghe,Kệ G3,1712000
TRANS_00288,CUST_0146,Ba lô học sinh,Kệ F2,1135000
TRANS_00289,CUST_0146,Giày sneaker,Kệ E1,1673000
TRANS_00290,CUST_0147,Mỹ phẩm dưỡng da,Kệ K1,150000
TRANS_00291,CUST_0147,Trà sữa pha sẵn,Kệ J3,23000
TRANS_00292,CUST_0147,Túi xách,Kệ L2,622000
TRANS_00293,CUST_0148,Trà thảo mộc,Kệ N4,1400000
TRANS_00294,CUST_0148,Thực phẩm bổ sung canxi,Kệ O2,1903000
TRANS_00295,CUST_0149,Kẹp tóc thời trang,Kệ D2,28000
TRANS_00296,CUST_0149,Son dưỡng môi,Kệ H1,1286000
TRANS_00297,CUST_0149,Ba lô học sinh,Kệ F2,1503000
TRANS_00298,CUST_0150,Túi xách,Kệ L2,1897000
TRANS_00299,CUST_0151,Kẹp tóc thời trang,Kệ D2,1888000
TRANS_00300,CUST_0152,Rượu vang,Kệ M1,665000
TRANS_00301,CUST_0152,Mỹ phẩm cao cấp,Kệ K2,371000
TRANS_00302,CUST_0153,Trà sữa pha sẵn,Kệ J3,550000
TRANS_00303,CUST_0154,Ba lô học sinh,Kệ F2,1338000
TRANS_00304,CUST_0154,Giày sneaker,Kệ E1,498000
TRANS_00305,CUST_0155,Đồng hồ lịch lãm,Kệ I2,186000
TRANS_00306,CUST_0155,Rượu vang,Kệ M1,665000
TRANS_00307,CUST_0155,Cà phê hòa tan,Kệ N2,495000
TRANS_00308,CUST_0156,Rượu vang,Kệ M1,739000
TRANS_00309,CUST_0156,Thực phẩm chức năng,Kệ O1,673000
TRANS_00310,CUST_0157,Rượu vang,Kệ M1,640000
TRANS_00311,CUST_0158,Son dưỡng môi,Kệ H1,724000
TRANS_00312,CUST_0158,Kẹp tóc thời trang,Kệ D2,1406000
TRANS_00313,CUST_0159,Thực phẩm chức năng,Kệ O1,1412000
TRANS_00314,CUST_0159,Mỹ phẩm cao cấp,Kệ K2,1576000
TRANS_00315,CUST_0160,Giày sneaker,Kệ E1,699000
TRANS_00316,CUST_0161,Túi xách,Kệ L2,1464000
TRANS_00317,CUST_0161,Mỹ phẩm dưỡng da,Kệ K1,58000
TRANS_00318,CUST_0162,Giày sneaker,Kệ E1,1447000
TRANS_00319,CUST_0162,Ba lô học sinh,Kệ F2,1593000
TRANS_00320,CUST_0162,Tai nghe,Kệ G3,1942000
TRANS_00321,CUST_0163,Trà thảo mộc,Kệ N4,297000
TRANS_00322,CUST_0163,Kem dưỡng da lão hóa,Kệ K3,1849000
TRANS_00323,CUST_0164,Cà phê hòa tan,Kệ N2,1552000
TRANS_00324,CUST_0165,Bút màu,Kệ B3,289000
TRANS_00325,CUST_0165,Đồ chơi xe hơi,Kệ A1,1366000
TRANS_00326,CUST_0165,Bánh kẹo trẻ em,Kệ C2,1585000
TRANS_00327,CUST_0166,Cà phê hòa tan,Kệ N2,1303000
TRANS_00328,CUST_0167,Đồng hồ lịch lãm,Kệ I2,892000
TRANS_00329,CUST_0168,Cà phê hòa tan,Kệ N2,956000
TRANS_00330,CUST_0168,Rượu vang,Kệ M1,1897000
TRANS_00331,CUST_0169,Đồng hồ lịch lãm,Kệ I2,465000
TRANS_00332,CUST_0169,Rượu vang,Kệ M1,555000
TRANS_00333,CUST_0170,Thực phẩm chức năng,Kệ O1,389000
TRANS_00334,CUST_0170,Rượu vang,Kệ M1,916000
TRANS_00335,CUST_0170,Mỹ phẩm cao cấp,Kệ K2,988000
TRANS_00336,CUST_0171,Nước tăng lực,Kệ J2,887000
TRANS_00337,CUST_0171,Đồng hồ thể thao,Kệ I1,342000
TRANS_00338,CUST_0172,Kem dưỡng da lão hóa,Kệ K3,1753000
TRANS_00339,CUST_0173,Tai nghe,Kệ G3,482000
TRANS_00340,CUST_0173,Giày sneaker,Kệ E1,1044000
TRANS_00341,CUST_0173,Ba lô học sinh,Kệ F2,1729000
TRANS_00342,CUST_0174,Ba lô học sinh,Kệ F2,1223000
TRANS_00343,CUST_0174,Giày sneaker,Kệ E1,1130000
TRANS_00344,CUST_0174,Tai nghe,Kệ G3,1322000
TRANS_00345,CUST_0175,Thực phẩm chức năng,Kệ O1,1693000
TRANS_00346,CUST_0176,Kem dưỡng da lão hóa,Kệ K3,724000
TRANS_00347,CUST_0177,Bút màu,Kệ B3,1513000
TRANS_00348,CUST_0177,Kẹp tóc,Kệ D1,1677000
TRANS_00349,CUST_0178,Thực phẩm bổ sung canxi,Kệ O2,291000
TRANS_00350,CUST_0178,Kem dưỡng da lão hóa,Kệ K3,354000
TRANS_00351,CUST_0179,Giày sneaker,Kệ E1,1547000
TRANS_00352,CUST_0180,Trà thảo mộc,Kệ N4,941000
TRANS_00353,CUST_0180,Kem dưỡng da lão hóa,Kệ K3,815000
TRANS_00354,CUST_0180,Thực phẩm bổ sung canxi,Kệ O2,1099000
TRANS_00355,CUST_0181,Cà phê hòa tan,Kệ N2,1846000
TRANS_00356,CUST_0181,Đồng hồ lịch lãm,Kệ I2,524000
TRANS_00357,CUST_0182,Mỹ phẩm dưỡng da,Kệ K1,1359000
TRANS_00358,CUST_0183,Nước tăng lực,Kệ J2,1949000
TRANS_00359,CUST_0183,Đồng hồ thể thao,Kệ I1,778000
TRANS_00360,CUST_0183,Giày sneaker,Kệ E1,832000
TRANS_00361,CUST_0184,Đồng hồ lịch lãm,Kệ I2,1299000
TRANS_00362,CUST_0184,Rượu vang,Kệ M1,1311000
TRANS_00363,CUST_0185,Trà thảo mộc,Kệ N4,1397000
TRANS_00364,CUST_0186,Ba lô học sinh,Kệ F2,1116000
TRANS_00365,CUST_0186,Giày sneaker,Kệ E1,1511000
TRANS_00366,CUST_0187,Ba lô học sinh,Kệ F2,1092000
TRANS_00367,CUST_0187,Son dưỡng môi,Kệ H1,1329000
TRANS_00368,CUST_0188,Nước tăng lực,Kệ J2,1780000
TRANS_00369,CUST_0188,Giày sneaker,Kệ E1,854000
TRANS_00370,CUST_0189,Giày sneaker,Kệ E1,118000
TRANS_00371,CUST_0189,Ba lô học sinh,Kệ F2,910000
TRANS_00372,CUST_0190,Thực phẩm chức năng,Kệ O1,946000
TRANS_00373,CUST_0190,Trà xanh,Kệ N3,331000
TRANS_00374,CUST_0191,Bút màu,Kệ B3,1286000
TRANS_00375,CUST_0191,Bánh kẹo trẻ em,Kệ C2,1509000
TRANS_00376,CUST_0191,Đồ chơi xe hơi,Kệ A1,358000
TRANS_00377,CUST_0192,Kẹp tóc,Kệ D1,1734000
TRANS_00378,CUST_0192,Bút màu,Kệ B3,476000
TRANS_00379,CUST_0193,Đồ chơi xe hơi,Kệ A1,1321000
TRANS_00380,CUST_0193,Bánh kẹo trẻ em,Kệ C2,1891000
TRANS_00381,CUST_0193,Bút màu,Kệ B3,1917000
TRANS_00382,CUST_0194,Trà xanh,Kệ N3,866000
TRANS_00383,CUST_0194,Thực phẩm chức năng,Kệ O1,639000
TRANS_00384,CUST_0195,Ba lô học sinh,Kệ F2,1899000
TRANS_00385,CUST_0196,Giày sneaker,Kệ E1,1247000
TRANS_00386,CUST_0197,Cà phê hòa tan,Kệ N2,863000
TRANS_00387,CUST_0197,Rượu vang,Kệ M1,843000
TRANS_00388,CUST_0197,Đồng hồ lịch lãm,Kệ I2,98000
